Sample_ID,Plant_Material,UV_Visible,SEM,TEM,EDAX,XRD,Particle_Size,Antifungal_Activity,Antibacterial_Activity,Antioxidant_Activity,Anti_Inflammatory_Activity
746,Smilax Zeylanica leaves,468.83,98.5,8.21,50.63,26.86,29.57,0,1,1,0
747,Smilax Zeylanica leaves,526.46,43.92,7.96,62.51,43.48,85.77,1,0,1,0
748,Smilax Zeylanica leaves,799.87,36.36,7.77,27.1,55.29,9.33,1,0,0,1
749,Smilax Zeylanica leaves,710.38,58.09,4.3,16.79,31.38,19.51,1,1,0,0
750,Smilax Zeylanica leaves,783.84,76.69,9.08,35.8,72.57,62.84,1,1,0,1
751,Smilax Zeylanica leaves,522.79,27.7,6.43,20.63,59.52,90.58,1,0,0,1
752,Smilax Zeylanica leaves,607.18,61.66,1.53,13.24,66.69,93.7,1,1,0,1
753,Smilax Zeylanica leaves,641.31,92.98,2.91,44.26,42.24,65.42,1,1,0,0
754,Smilax Zeylanica leaves,279.38,32.19,3.84,40.52,77.88,62.37,0,0,0,1
755,Smilax Zeylanica leaves,448.61,63.08,8.9,37.98,70.55,74.88,0,1,0,1
756,Smilax Zeylanica leaves,676.09,95.44,7.75,25.76,67.29,99.39,1,1,0,1
757,Smilax Zeylanica leaves,405.55,59.52,3.39,26.4,35.24,79.13,0,1,0,0
758,Smilax Zeylanica leaves,225.74,31.86,7.76,67.7,45.67,50.5,0,0,1,0
759,Smilax Zeylanica leaves,625.05,90.47,8.14,82.19,44.34,54.86,1,1,1,0
760,Smilax Zeylanica leaves,391.49,10.69,3.19,24.76,22.37,63.98,0,0,0,0
761,Smilax Zeylanica leaves,577.01,56.68,6.31,29.14,24.53,66.59,1,1,0,0
762,Smilax Zeylanica leaves,206.41,87.36,8.86,73.98,21.81,97.97,0,1,1,0
763,Smilax Zeylanica leaves,223.35,22.16,2.05,27.74,20.51,18.2,0,0,0,0
764,Smilax Zeylanica leaves,315.45,42.92,4.47,0.18,29.69,76.98,0,0,0,0
765,Smilax Zeylanica leaves,535.59,19.73,3.42,2.33,74.96,82.49,1,0,0,1
766,Smilax Zeylanica leaves,706.3,62.25,1.44,74.91,56.44,24.33,1,1,1,1
767,Smilax Zeylanica leaves,267.02,23.4,9.89,75.34,78.02,62.18,0,0,1,1
768,Smilax Zeylanica leaves,278.56,76.01,5.51,6.22,31.13,95.65,0,1,0,0
769,Smilax Zeylanica leaves,668.35,57.45,2.02,74.0,31.68,93.76,1,1,1,0
770,Smilax Zeylanica leaves,374.69,73.87,9.76,1.58,72.78,49.16,0,1,0,1
771,Smilax Zeylanica leaves,566.7,66.65,2.85,8.46,79.02,62.87,1,1,0,1
772,Smilax Zeylanica leaves,566.98,50.8,4.18,89.24,66.01,23.94,1,1,1,1
773,Smilax Zeylanica leaves,772.34,18.87,6.68,47.97,29.71,34.17,1,0,0,0
774,Smilax Zeylanica leaves,692.29,24.63,5.22,78.25,71.4,28.56,1,0,1,1
775,Smilax Zeylanica leaves,770.18,35.34,9.54,18.95,64.79,55.07,1,0,0,1
776,Smilax Zeylanica leaves,578.9,84.01,1.43,40.35,72.2,95.04,1,1,0,1
777,Smilax Zeylanica leaves,327.06,77.49,4.7,49.85,25.83,79.7,0,1,0,0
778,Smilax Zeylanica leaves,378.33,46.86,6.12,97.16,70.03,38.58,0,0,1,1
779,Smilax Zeylanica leaves,684.02,39.03,3.22,93.24,37.11,23.88,1,0,1,0
780,Smilax Zeylanica leaves,306.82,47.82,6.39,43.12,37.05,97.99,0,0,0,0
781,Smilax Zeylanica leaves,375.95,61.08,2.77,64.43,45.07,95.47,0,1,1,0
782,Smilax Zeylanica leaves,595.31,59.27,8.42,58.59,57.96,73.99,1,1,1,1
783,Smilax Zeylanica leaves,208.39,26.83,2.14,24.99,23.12,6.79,0,0,0,0
784,Smilax Zeylanica leaves,636.18,98.7,5.28,40.79,77.42,14.51,1,1,0,1
785,Smilax Zeylanica leaves,412.78,90.27,2.92,93.35,60.13,44.46,0,1,1,1
786,Smilax Zeylanica leaves,293.16,17.84,7.79,79.33,63.39,13.96,0,0,1,1
787,Smilax Zeylanica leaves,344.86,39.06,3.64,48.69,49.81,94.92,0,0,0,0
788,Smilax Zeylanica leaves,678.62,67.84,6.07,44.91,76.4,1.75,1,1,0,1
789,Smilax Zeylanica leaves,592.98,77.59,7.66,22.62,38.17,3.91,1,1,0,0
790,Smilax Zeylanica leaves,588.19,19.16,8.5,88.2,47.8,14.52,1,0,1,0
791,Smilax Zeylanica leaves,297.83,85.87,6.16,23.69,21.73,49.82,0,1,0,0
792,Smilax Zeylanica leaves,335.75,99.68,5.81,9.75,20.82,35.26,0,1,0,0
793,Smilax Zeylanica leaves,336.67,97.01,3.6,15.68,25.05,82.78,0,1,0,0
794,Smilax Zeylanica leaves,288.91,66.23,1.94,58.43,29.81,84.62,0,1,1,0
795,Smilax Zeylanica leaves,301.39,25.61,1.79,98.45,74.89,11.49,0,0,1,1
796,Smilax Zeylanica leaves,778.06,100.0,3.95,79.77,55.94,9.12,1,1,1,1
797,Smilax Zeylanica leaves,568.65,43.42,2.83,42.29,55.85,43.57,1,0,0,1
798,Smilax Zeylanica leaves,781.97,71.32,4.33,45.93,73.56,82.61,1,1,0,1
799,Smilax Zeylanica leaves,720.28,30.91,1.87,16.97,65.63,46.55,1,0,0,1
800,Smilax Zeylanica leaves,382.92,30.77,7.62,35.89,52.35,51.81,0,0,0,1
801,Smilax Zeylanica leaves,549.47,53.19,9.35,42.1,63.56,35.21,1,1,0,1
802,Smilax Zeylanica leaves,790.94,30.37,4.98,89.5,26.62,65.6,1,0,1,0
803,Smilax Zeylanica leaves,370.55,36.22,1.14,88.39,72.24,83.17,0,0,1,1
804,Smilax Zeylanica leaves,232.53,61.83,4.54,28.93,74.72,16.25,0,1,0,1
805,Smilax Zeylanica leaves,202.4,55.29,4.63,17.74,50.25,83.13,0,1,0,1
806,Smilax Zeylanica leaves,273.48,35.63,3.74,80.6,46.82,3.79,0,0,1,0
807,Smilax Zeylanica leaves,263.5,30.12,2.67,55.39,29.55,8.15,0,0,1,0
808,Smilax Zeylanica leaves,749.29,29.29,4.22,20.1,52.27,3.84,1,0,0,1
809,Smilax Zeylanica leaves,469.97,19.49,4.27,52.6,43.91,82.42,0,0,1,0
810,Smilax Zeylanica leaves,445.85,64.74,5.03,92.43,73.29,40.75,0,1,1,1
811,Smilax Zeylanica leaves,330.59,74.58,8.15,91.92,70.93,28.2,0,1,1,1
812,Smilax Zeylanica leaves,648.9,39.36,1.69,98.88,61.44,44.2,1,0,1,1
813,Smilax Zeylanica leaves,446.51,32.22,9.03,41.36,46.72,81.21,0,0,0,0
814,Smilax Zeylanica leaves,698.2,15.53,4.99,61.55,54.59,36.87,1,0,1,1
815,Smilax Zeylanica leaves,764.08,61.31,2.33,15.64,44.54,79.64,1,1,0,0
816,Smilax Zeylanica leaves,493.76,90.15,5.02,35.96,40.86,55.66,0,1,0,0
817,Smilax Zeylanica leaves,211.23,46.2,6.83,58.35,21.22,26.29,0,0,1,0
818,Smilax Zeylanica leaves,779.9,92.94,8.73,94.27,75.99,52.56,1,1,1,1
819,Smilax Zeylanica leaves,388.9,86.07,1.84,52.06,52.44,81.96,0,1,1,1
820,Smilax Zeylanica leaves,611.65,27.58,4.17,90.7,38.41,34.44,1,0,1,0
821,Smilax Zeylanica leaves,453.19,73.38,8.07,68.17,45.69,19.12,0,1,1,0
822,Smilax Zeylanica leaves,238.01,70.92,3.53,12.87,30.05,61.27,0,1,0,0
823,Smilax Zeylanica leaves,553.94,22.12,7.9,20.6,52.68,1.55,1,0,0,1
824,Smilax Zeylanica leaves,515.79,24.57,8.76,64.26,29.62,82.85,1,0,1,0
825,Smilax Zeylanica leaves,425.39,55.01,3.35,16.21,20.4,9.89,0,1,0,0
826,Smilax Zeylanica leaves,795.01,80.7,8.01,35.87,37.64,8.44,1,1,0,0
827,Smilax Zeylanica leaves,677.69,63.78,3.39,36.17,37.05,96.67,1,1,0,0
828,Smilax Zeylanica leaves,393.21,63.77,8.66,99.68,71.12,21.45,0,1,1,1
829,Smilax Zeylanica leaves,765.82,36.85,6.19,93.76,49.86,4.73,1,0,1,0
830,Smilax Zeylanica leaves,753.91,29.7,3.63,77.6,75.38,21.83,1,0,1,1
831,Smilax Zeylanica leaves,445.44,62.65,3.99,93.34,70.15,39.85,0,1,1,1
832,Smilax Zeylanica leaves,695.83,82.4,1.27,0.66,58.3,28.35,1,1,0,1
833,Smilax Zeylanica leaves,476.93,69.58,1.24,65.49,21.56,71.58,0,1,1,0
834,Smilax Zeylanica leaves,500.47,15.5,5.15,56.14,33.65,79.55,1,0,1,0
835,Smilax Zeylanica leaves,563.9,62.78,2.54,80.68,51.19,53.85,1,1,1,1
836,Smilax Zeylanica leaves,799.43,89.69,7.33,63.38,62.24,71.58,1,1,1,1
837,Smilax Zeylanica leaves,723.7,59.17,4.43,87.37,71.76,30.69,1,1,1,1
838,Smilax Zeylanica leaves,311.39,88.55,8.35,66.49,66.83,55.91,0,1,1,1
839,Smilax Zeylanica leaves,619.77,23.8,6.14,30.86,27.37,70.86,1,0,0,0
840,Smilax Zeylanica leaves,692.5,43.45,8.02,60.83,66.34,27.66,1,0,1,1
841,Smilax Zeylanica leaves,229.88,99.86,9.33,32.47,20.75,40.69,0,1,0,0
842,Smilax Zeylanica leaves,781.62,57.65,1.03,54.32,21.65,50.24,1,1,1,0
843,Smilax Zeylanica leaves,755.54,71.41,7.11,32.15,54.15,45.46,1,1,0,1
844,Smilax Zeylanica leaves,649.25,57.26,2.22,57.41,35.85,3.3,1,1,1,0
845,Smilax Zeylanica leaves,712.08,58.9,6.23,57.32,58.14,39.66,1,1,1,1
846,Smilax Zeylanica leaves,333.64,28.02,7.3,21.75,52.96,99.02,0,0,0,1
847,Smilax Zeylanica leaves,591.03,55.55,1.98,24.0,47.09,59.96,1,1,0,0
848,Smilax Zeylanica leaves,447.98,48.57,7.89,89.65,50.04,70.59,0,0,1,1
849,Smilax Zeylanica leaves,736.69,29.87,1.44,6.43,41.45,38.2,1,0,0,0
850,Smilax Zeylanica leaves,435.13,32.99,2.95,6.41,58.34,89.61,0,0,0,1
851,Smilax Zeylanica leaves,757.42,93.77,5.01,87.97,70.57,41.44,1,1,1,1
852,Smilax Zeylanica leaves,278.66,94.23,4.16,57.26,52.46,70.23,0,1,1,1
853,Smilax Zeylanica leaves,787.69,20.5,6.97,47.96,73.2,74.01,1,0,0,1
854,Smilax Zeylanica leaves,330.89,39.71,3.45,69.03,49.26,63.32,0,0,1,0
855,Smilax Zeylanica leaves,758.95,42.91,7.21,61.61,43.47,42.82,1,0,1,0
856,Smilax Zeylanica leaves,784.04,92.54,1.83,24.05,54.85,96.47,1,1,0,1
857,Smilax Zeylanica leaves,561.76,34.02,2.54,75.82,31.1,16.03,1,0,1,0
858,Smilax Zeylanica leaves,557.68,34.92,4.0,63.75,68.18,97.45,1,0,1,1
859,Smilax Zeylanica leaves,265.33,62.68,9.64,10.78,76.28,58.73,0,1,0,1
860,Smilax Zeylanica leaves,291.99,14.71,2.25,10.24,68.41,27.51,0,0,0,1
861,Smilax Zeylanica leaves,716.9,80.13,7.88,15.04,66.87,84.67,1,1,0,1
862,Smilax Zeylanica leaves,417.0,87.46,2.19,39.67,50.78,50.55,0,1,0,1
863,Smilax Zeylanica leaves,760.99,92.18,5.43,59.2,56.27,25.55,1,1,1,1
864,Smilax Zeylanica leaves,489.11,58.33,9.9,66.16,50.95,90.59,0,1,1,1
865,Smilax Zeylanica leaves,379.52,13.19,1.84,4.29,41.91,1.74,0,0,0,0
866,Smilax Zeylanica leaves,577.5,61.5,4.61,6.25,76.06,45.81,1,1,0,1
867,Smilax Zeylanica leaves,591.96,76.32,2.99,28.41,46.53,92.76,1,1,0,0
868,Smilax Zeylanica leaves,619.6,55.63,8.11,78.15,51.65,21.07,1,1,1,1
869,Smilax Zeylanica leaves,597.37,94.74,7.25,14.88,38.96,27.86,1,1,0,0
870,Smilax Zeylanica leaves,507.54,76.21,6.28,77.61,28.2,9.43,1,1,1,0
871,Smilax Zeylanica leaves,371.83,42.36,9.43,27.71,30.38,20.89,0,0,0,0
872,Smilax Zeylanica leaves,772.01,76.15,6.43,3.35,75.56,73.17,1,1,0,1
873,Smilax Zeylanica leaves,493.44,29.68,8.86,89.86,46.85,91.33,0,0,1,0
874,Smilax Zeylanica leaves,228.97,76.87,4.24,80.25,22.04,19.19,0,1,1,0
875,Smilax Zeylanica leaves,428.23,52.77,2.23,90.09,71.1,70.59,0,1,1,1
876,Smilax Zeylanica leaves,546.13,61.91,2.11,25.55,52.17,56.3,1,1,0,1
877,Smilax Zeylanica leaves,693.93,38.98,7.95,30.06,23.28,71.54,1,0,0,0
878,Smilax Zeylanica leaves,765.59,17.79,4.35,75.54,57.57,34.76,1,0,1,1
879,Smilax Zeylanica leaves,337.95,61.95,5.66,41.44,33.86,66.71,0,1,0,0
880,Smilax Zeylanica leaves,715.01,68.9,6.82,89.61,33.12,58.65,1,1,1,0
881,Smilax Zeylanica leaves,552.55,60.57,2.5,61.62,69.84,11.58,1,1,1,1
882,Smilax Zeylanica leaves,719.93,81.29,5.98,4.58,79.02,74.54,1,1,0,1
883,Smilax Zeylanica leaves,392.32,84.6,5.95,62.08,40.7,54.62,0,1,1,0
884,Smilax Zeylanica leaves,657.4,88.97,9.66,51.91,39.59,13.1,1,1,1,0
885,Smilax Zeylanica leaves,705.45,92.28,8.15,5.72,35.84,81.33,1,1,0,0
886,Smilax Zeylanica leaves,648.13,13.19,6.18,90.77,69.69,86.52,1,0,1,1
887,Smilax Zeylanica leaves,732.61,72.18,9.81,46.74,50.99,80.5,1,1,0,1
888,Smilax Zeylanica leaves,519.19,98.16,1.88,94.74,29.39,60.67,1,1,1,0
889,Smilax Zeylanica leaves,200.65,30.9,6.06,34.49,23.17,21.18,0,0,0,0
890,Smilax Zeylanica leaves,303.82,68.61,2.57,55.22,50.45,68.48,0,1,1,1
891,Smilax Zeylanica leaves,530.86,28.51,2.35,21.07,69.63,8.19,1,0,0,1
892,Smilax Zeylanica leaves,286.23,65.44,2.38,88.83,59.72,49.69,0,1,1,1
893,Smilax Zeylanica leaves,787.44,17.82,2.6,32.74,50.77,75.8,1,0,0,1
894,Smilax Zeylanica leaves,783.83,23.63,5.22,39.3,28.6,33.27,1,0,0,0
895,Smilax Zeylanica leaves,568.43,86.98,3.81,50.43,62.28,58.96,1,1,1,1
896,Smilax Zeylanica leaves,623.92,22.25,1.71,85.83,22.22,75.41,1,0,1,0
897,Smilax Zeylanica leaves,445.76,22.79,8.44,10.38,64.7,70.59,0,0,0,1
898,Smilax Zeylanica leaves,322.23,83.93,4.17,62.7,23.04,13.26,0,1,1,0
899,Smilax Zeylanica leaves,592.92,71.51,8.94,74.12,74.2,12.76,1,1,1,1
900,Smilax Zeylanica leaves,592.36,79.8,6.35,56.87,42.28,67.22,1,1,1,0
901,Smilax Zeylanica leaves,337.22,32.01,8.53,41.57,52.28,31.44,0,0,0,1
902,Smilax Zeylanica leaves,209.46,19.12,7.1,25.5,59.79,10.82,0,0,0,1
903,Smilax Zeylanica leaves,637.17,44.42,1.53,89.19,50.29,97.28,1,0,1,1
904,Smilax Zeylanica leaves,393.53,61.72,7.84,85.37,58.04,14.16,0,1,1,1
905,Smilax Zeylanica leaves,645.43,33.57,5.64,73.94,76.41,43.48,1,0,1,1
906,Smilax Zeylanica leaves,605.37,34.2,9.73,77.5,33.99,18.59,1,0,1,0
907,Smilax Zeylanica leaves,719.44,66.4,1.36,67.33,64.31,41.46,1,1,1,1
908,Smilax Zeylanica leaves,217.34,46.58,5.04,82.07,77.9,28.46,0,0,1,1
909,Smilax Zeylanica leaves,725.98,64.33,5.65,42.6,57.37,56.06,1,1,0,1
910,Smilax Zeylanica leaves,598.28,40.19,5.47,53.59,50.88,48.58,1,0,1,1
911,Smilax Zeylanica leaves,579.05,25.93,3.21,23.85,33.05,71.15,1,0,0,0
912,Smilax Zeylanica leaves,577.24,17.64,1.96,4.41,24.4,91.78,1,0,0,0
913,Smilax Zeylanica leaves,430.23,66.21,5.85,0.14,51.27,1.92,0,1,0,1
914,Smilax Zeylanica leaves,348.25,72.47,1.44,43.62,65.56,73.9,0,1,0,1
915,Smilax Zeylanica leaves,373.22,76.24,4.6,50.39,49.29,41.17,0,1,1,0
916,Smilax Zeylanica leaves,566.99,23.94,8.01,13.76,26.23,77.2,1,0,0,0
917,Smilax Zeylanica leaves,778.03,14.85,8.24,19.13,41.25,23.77,1,0,0,0
918,Smilax Zeylanica leaves,469.78,24.69,6.14,2.29,78.29,27.48,0,0,0,1
919,Smilax Zeylanica leaves,293.53,64.59,2.71,57.76,47.33,69.67,0,1,1,0
920,Smilax Zeylanica leaves,244.84,10.04,9.25,41.07,41.74,44.84,0,0,0,0
921,Smilax Zeylanica leaves,288.08,85.37,8.0,3.6,20.71,55.2,0,1,0,0
922,Smilax Zeylanica leaves,673.14,83.33,6.73,99.23,46.61,27.64,1,1,1,0
923,Smilax Zeylanica leaves,279.57,12.56,3.02,54.91,23.59,14.74,0,0,1,0
924,Smilax Zeylanica leaves,329.91,65.78,9.13,32.18,73.12,41.33,0,1,0,1
925,Smilax Zeylanica leaves,406.98,32.89,3.9,47.05,73.01,13.87,0,0,0,1
926,Smilax Zeylanica leaves,236.15,17.94,3.61,48.58,22.56,85.8,0,0,0,0
927,Smilax Zeylanica leaves,308.54,33.61,8.13,21.05,37.48,73.36,0,0,0,0
928,Smilax Zeylanica leaves,245.06,35.04,4.94,93.99,75.99,23.5,0,0,1,1
929,Smilax Zeylanica leaves,298.44,56.95,5.43,89.18,37.73,71.1,0,1,1,0
930,Smilax Zeylanica leaves,238.13,26.13,4.05,63.03,62.42,92.68,0,0,1,1
931,Smilax Zeylanica leaves,514.58,32.89,9.46,87.21,57.13,6.69,1,0,1,1
932,Smilax Zeylanica leaves,347.57,45.68,8.39,63.15,34.72,28.73,0,0,1,0
933,Smilax Zeylanica leaves,273.46,11.65,3.47,41.74,47.02,86.26,0,0,0,0
934,Smilax Zeylanica leaves,728.19,19.53,5.97,81.61,21.78,34.28,1,0,1,0
935,Smilax Zeylanica leaves,650.73,76.55,9.28,25.25,73.48,49.93,1,1,0,1
936,Smilax Zeylanica leaves,771.78,17.28,9.26,45.34,66.46,45.51,1,0,0,1
937,Smilax Zeylanica leaves,736.18,44.89,9.12,48.11,49.63,94.79,1,0,0,0
938,Smilax Zeylanica leaves,512.79,99.59,6.66,29.56,58.01,37.19,1,1,0,1
939,Smilax Zeylanica leaves,247.49,87.94,7.34,69.55,31.4,33.92,0,1,1,0
940,Smilax Zeylanica leaves,783.07,89.7,3.92,26.21,50.31,15.36,1,1,0,1
941,Smilax Zeylanica leaves,533.07,38.52,4.31,68.85,57.58,69.11,1,0,1,1
942,Smilax Zeylanica leaves,684.26,48.56,3.71,83.28,66.06,15.68,1,0,1,1
943,Smilax Zeylanica leaves,275.25,84.98,7.79,89.52,56.77,90.19,0,1,1,1
944,Smilax Zeylanica leaves,431.73,20.84,6.96,82.48,28.6,1.09,0,0,1,0
945,Smilax Zeylanica leaves,600.39,65.82,2.1,68.43,43.81,83.64,1,1,1,0
946,Smilax Zeylanica leaves,256.77,71.25,5.89,60.92,48.24,5.43,0,1,1,0
947,Smilax Zeylanica leaves,691.77,72.48,7.42,38.15,55.8,86.04,1,1,0,1
948,Smilax Zeylanica leaves,296.76,52.82,8.39,50.69,54.21,97.48,0,1,1,1
949,Smilax Zeylanica leaves,756.63,87.94,1.08,40.8,74.71,38.07,1,1,0,1
950,Smilax Zeylanica leaves,790.28,98.0,6.04,66.93,35.98,7.5,1,1,1,0
951,Smilax Zeylanica leaves,207.72,19.67,4.45,3.64,38.2,55.1,0,0,0,0
952,Smilax Zeylanica leaves,548.23,14.66,2.5,45.05,26.2,48.09,1,0,0,0
953,Smilax Zeylanica leaves,634.42,78.11,3.1,43.74,21.42,66.07,1,1,0,0
954,Smilax Zeylanica leaves,744.48,93.47,1.03,3.24,64.89,25.23,1,1,0,1
955,Smilax Zeylanica leaves,547.22,17.44,3.5,11.93,37.68,7.06,1,0,0,0
956,Smilax Zeylanica leaves,671.83,42.14,8.14,69.21,61.26,85.44,1,0,1,1
957,Smilax Zeylanica leaves,612.53,11.07,8.35,0.94,67.27,35.91,1,0,0,1
958,Smilax Zeylanica leaves,286.18,18.85,5.42,60.27,57.6,37.93,0,0,1,1
959,Smilax Zeylanica leaves,262.97,25.48,6.13,80.69,40.77,67.12,0,0,1,0
960,Smilax Zeylanica leaves,446.15,47.07,9.67,59.51,21.51,63.75,0,0,1,0
961,Smilax Zeylanica leaves,244.94,35.12,4.17,7.97,30.95,73.31,0,0,0,0
962,Smilax Zeylanica leaves,330.64,89.32,8.29,73.8,25.94,2.13,0,1,1,0
963,Smilax Zeylanica leaves,348.47,59.79,6.18,11.31,26.74,93.85,0,1,0,0
964,Smilax Zeylanica leaves,615.09,54.41,5.89,97.28,50.58,59.74,1,1,1,1
965,Smilax Zeylanica leaves,633.17,97.46,5.08,28.0,41.95,82.44,1,1,0,0
966,Smilax Zeylanica leaves,719.64,81.67,2.64,39.43,28.44,57.01,1,1,0,0
967,Smilax Zeylanica leaves,416.04,83.34,4.12,31.49,41.99,42.82,0,1,0,0
968,Smilax Zeylanica leaves,647.11,73.69,1.59,21.59,64.3,88.63,1,1,0,1
969,Smilax Zeylanica leaves,770.8,71.42,2.1,71.54,25.54,1.86,1,1,1,0
970,Smilax Zeylanica leaves,522.97,46.0,9.33,38.28,62.3,98.44,1,0,0,1
971,Smilax Zeylanica leaves,481.82,28.52,5.62,51.9,61.95,97.27,0,0,1,1
972,Smilax Zeylanica leaves,425.84,28.95,3.22,53.49,41.26,18.91,0,0,1,0
973,Smilax Zeylanica leaves,628.92,42.21,6.21,23.37,64.27,13.07,1,0,0,1
974,Smilax Zeylanica leaves,492.04,21.39,6.15,75.12,54.54,82.91,0,0,1,1
975,Smilax Zeylanica leaves,412.82,81.57,5.04,50.5,55.1,97.2,0,1,1,1
976,Smilax Zeylanica leaves,537.82,30.41,2.92,96.12,47.16,68.64,1,0,1,0
977,Smilax Zeylanica leaves,383.79,38.08,4.6,31.18,36.27,61.32,0,0,0,0
978,Smilax Zeylanica leaves,642.57,89.45,5.44,55.48,32.77,80.68,1,1,1,0
979,Smilax Zeylanica leaves,377.99,16.99,8.12,48.9,56.61,97.37,0,0,0,1
980,Smilax Zeylanica leaves,480.59,54.81,9.14,91.35,56.11,61.97,0,1,1,1
981,Smilax Zeylanica leaves,337.32,18.0,8.5,34.89,39.03,7.82,0,0,0,0
982,Smilax Zeylanica leaves,467.84,91.97,9.58,37.86,76.63,88.51,0,1,0,1
983,Smilax Zeylanica leaves,230.66,40.39,9.07,58.02,35.22,15.3,0,0,1,0
984,Smilax Zeylanica leaves,252.67,64.79,5.0,2.31,74.61,87.1,0,1,0,1
985,Smilax Zeylanica leaves,261.52,85.83,8.1,3.51,79.15,36.97,0,1,0,1
986,Smilax Zeylanica leaves,700.39,29.3,6.4,6.79,21.25,93.52,1,0,0,0
987,Smilax Zeylanica leaves,472.39,27.1,3.73,30.59,59.65,95.74,0,0,0,1
988,Smilax Zeylanica leaves,561.56,96.45,6.25,35.15,71.78,69.08,1,1,0,1
989,Smilax Zeylanica leaves,536.59,87.97,9.09,45.26,66.07,3.23,1,1,0,1
990,Smilax Zeylanica leaves,704.86,37.96,7.04,58.2,28.56,16.82,1,0,1,0
991,Smilax Zeylanica leaves,790.11,80.75,4.26,67.43,40.76,9.98,1,1,1,0
992,Smilax Zeylanica leaves,599.79,45.26,9.9,95.87,50.8,9.24,1,0,1,1
993,Smilax Zeylanica leaves,609.83,84.07,2.78,54.2,68.31,45.98,1,1,1,1
994,Smilax Zeylanica leaves,265.5,88.46,5.69,72.57,24.87,14.78,0,1,1,0
995,Smilax Zeylanica leaves,229.64,74.7,1.28,21.02,46.91,30.35,0,1,0,0
996,Smilax Zeylanica leaves,467.96,35.02,8.58,52.24,58.45,33.97,0,0,1,1
997,Smilax Zeylanica leaves,560.81,87.32,8.67,31.25,61.41,20.04,1,1,0,1
998,Smilax Zeylanica leaves,335.78,26.3,6.28,11.95,55.0,63.22,0,0,0,1
999,Smilax Zeylanica leaves,521.87,16.04,8.19,44.34,40.83,38.17,1,0,0,0
1000,Smilax Zeylanica leaves,322.67,13.46,5.34,86.13,47.95,96.97,0,0,1,0
1001,Smilax Zeylanica leaves,734.06,18.62,3.12,90.81,73.75,8.58,1,0,1,1
1002,Smilax Zeylanica leaves,443.04,63.48,1.76,24.88,60.16,85.19,0,1,0,1
1003,Smilax Zeylanica leaves,376.23,55.37,3.97,33.11,24.68,22.01,0,1,0,0
1004,Smilax Zeylanica leaves,512.17,47.72,1.24,85.35,69.79,10.08,1,0,1,1
1005,Smilax Zeylanica leaves,395.19,54.88,8.92,6.25,56.54,87.83,0,1,0,1
1006,Smilax Zeylanica leaves,235.14,46.38,8.25,40.4,61.05,34.66,0,0,0,1
1007,Smilax Zeylanica leaves,669.16,60.01,6.14,18.36,51.05,3.08,1,1,0,1
1008,Smilax Zeylanica leaves,560.27,89.22,7.83,98.74,31.49,14.06,1,1,1,0
1009,Smilax Zeylanica leaves,501.43,34.11,9.97,2.56,36.53,62.2,1,0,0,0
1010,Smilax Zeylanica leaves,717.87,57.35,9.72,99.27,40.4,42.57,1,1,1,0
1011,Smilax Zeylanica leaves,558.4,62.36,9.53,42.45,33.87,12.19,1,1,0,0
1012,Smilax Zeylanica leaves,277.34,17.46,2.59,10.63,29.16,53.23,0,0,0,0
1013,Smilax Zeylanica leaves,739.31,53.13,9.84,3.7,22.5,97.11,1,1,0,0
1014,Smilax Zeylanica leaves,407.12,63.09,9.78,64.33,24.0,89.91,0,1,1,0
1015,Smilax Zeylanica leaves,753.72,19.96,5.63,48.01,79.31,2.55,1,0,0,1
1016,Smilax Zeylanica leaves,504.02,50.75,1.68,78.19,61.51,75.21,1,1,1,1
1017,Smilax Zeylanica leaves,394.68,13.05,1.75,34.79,52.65,56.56,0,0,0,1
1018,Smilax Zeylanica leaves,560.16,42.86,2.87,80.73,33.13,83.83,1,0,1,0
1019,Smilax Zeylanica leaves,450.76,58.32,2.89,27.59,77.31,52.08,0,1,0,1
1020,Smilax Zeylanica leaves,421.5,88.09,1.28,22.62,59.72,99.52,0,1,0,1
1021,Smilax Zeylanica leaves,231.58,52.75,3.24,1.25,47.44,1.74,0,1,0,0
1022,Smilax Zeylanica leaves,388.31,17.15,4.31,45.04,22.96,22.24,0,0,0,0
1023,Smilax Zeylanica leaves,523.79,86.35,8.25,51.53,46.16,30.75,1,1,1,0
1024,Smilax Zeylanica leaves,374.49,76.85,3.62,52.57,63.18,28.87,0,1,1,1
1025,Smilax Zeylanica leaves,688.32,71.96,3.19,94.02,25.4,48.37,1,1,1,0
1026,Smilax Zeylanica leaves,237.87,60.44,8.73,42.59,53.47,31.2,0,1,0,1
1027,Smilax Zeylanica leaves,242.62,90.19,6.18,26.84,46.29,38.4,0,1,0,0
1028,Smilax Zeylanica leaves,673.64,22.74,1.59,84.42,69.68,86.05,1,0,1,1
1029,Smilax Zeylanica leaves,673.31,15.35,3.51,14.14,41.65,59.96,1,0,0,0
1030,Smilax Zeylanica leaves,687.18,18.64,6.85,22.85,33.13,4.73,1,0,0,0
1031,Smilax Zeylanica leaves,755.2,15.68,3.13,1.99,57.21,90.72,1,0,0,1
1032,Smilax Zeylanica leaves,278.48,75.96,5.3,29.18,25.94,99.48,0,1,0,0
1033,Smilax Zeylanica leaves,402.53,37.28,9.58,62.08,35.52,72.22,0,0,1,0
1034,Smilax Zeylanica leaves,438.51,47.29,8.8,66.68,48.37,26.85,0,0,1,0
